PersonID,Score,PhoneUsage,AppDownloadFrequency,AppUsage,Age,Gender,Country,NewSurvey,Time,Source,Easiness
1,40.0,4,2,4,20 - 24,male,US,0,2013-11-16 22:37:36,facebook,1.6
5,50.0,4,2,4,20 - 24,female,US,0,2013-11-16 22:42:42,facebook,1.6
7,30.0,4,1,4,20 - 24,female,US,0,2013-11-16 22:46:37,facebook,1.5
8,30.0,4,2,4,20 - 24,female,US,0,2013-11-16 22:52:50,facebook,1.4
9,40.0,4,2,4,20 - 24,male,US,0,2013-11-16 22:59:49,facebook,1.5
10,30.0,4,3,4,20 - 24,male,US,0,2013-11-16 23:06:23,facebook,1.3
11,20.0,4,3,4,20 - 24,male,US,0,2013-11-16 23:07:47,facebook,1.0
13,20.0,4,2,4,25 - 29,male,US,0,2013-11-16 23:16:34,facebook,1.9
14,60.0,4,2,3,20 - 24,female,HK,0,2013-11-16 23:23:31,facebook,1.8
15,70.0,4,3,4,20 - 24,male,US,0,2013-11-16 23:26:42,facebook,1.5
17,30.0,4,0,0,20 - 24,male,US,0,2013-11-16 23:30:32,facebook,2.3
20,70.0,4,1,4,25 - 29,male,US,0,2013-11-16 23:33:39,facebook,2.1
21,30.0,4,2,4,20 - 24,male,US,0,2013-11-16 23:34:42,facebook,1.8
22,40.0,4,2,4,15 - 19,male,US,0,2013-11-16 23:37:53,facebook,1.9
24,60.0,4,2,4,25 - 29,male,US,0,2013-11-16 23:49:36,facebook,2.4
25,50.0,4,3,4,20 - 24,female,US,0,2013-11-16 23:50:56,facebook,1.7
27,10.0,4,2,4,20 - 24,male,US,0,2013-11-17 00:02:08,facebook,1.7
29,50.0,4,3,4,30 - 34,male,US,0,2013-11-17 00:09:14,facebook,1.2
30,20.0,4,2,4,20 - 24,female,US,0,2013-11-17 00:11:08,facebook,1.5
32,50.0,4,1,4,20 - 24,female,US,0,2013-11-17 00:20:03,facebook,1.2
34,40.0,4,2,4,20 - 24,female,US,0,2013-11-17 00:24:25,facebook,2.1
36,50.0,4,2,4,20 - 24,male,US,0,2013-11-17 00:29:39,facebook,1.5
37,60.0,3,0,0,20 - 24,female,US,0,2013-11-17 00:31:34,facebook,2.1
39,70.0,4,2,4,20 - 24,female,US,0,2013-11-17 00:36:35,facebook,1.9
40,60.0,4,1,3,20 - 24,female,US,0,2013-11-17 00:39:29,facebook,2.3
44,60.0,4,2,4,25 - 29,male,US,0,2013-11-17 00:53:13,facebook,2.4
46,30.0,4,2,4,20 - 24,male,US,0,2013-11-17 01:05:23,facebook,0.7
48,50.0,4,0,0,20 - 24,male,US,0,2013-11-17 01:30:25,facebook,1.7
49,20.0,4,4,4,20 - 24,male,US,0,2013-11-17 01:48:34,facebook,0.8
51,40.0,4,1,2,20 - 24,female,JO,0,2013-11-17 01:53:47,facebook,1.3
52,50.0,4,2,4,20 - 24,female,KR,0,2013-11-17 01:55:49,facebook,1.5
53,40.0,4,3,4,20 - 24,male,SZ,0,2013-11-17 01:56:45,facebook,1.7
54,40.0,4,2,4,20 - 24,male,US,0,2013-11-17 02:02:58,facebook,2.4
55,50.0,4,3,4,20 - 24,male,US,0,2013-11-17 02:12:30,facebook,1.4
56,50.0,4,2,4,20 - 24,male,US,0,2013-11-17 02:13:16,facebook,1.5
62,30.0,4,1,2,20 - 24,female,US,0,2013-11-17 05:59:43,facebook,0.8
63,20.0,4,1,4,20 - 24,female,US,0,2013-11-17 06:08:03,facebook,1.4
64,40.0,4,2,4,20 - 24,female,US,0,2013-11-17 07:23:07,facebook,1.0
65,30.0,4,3,4,25 - 29,female,IN,0,2013-11-17 07:31:13,facebook,1.7
66,60.0,4,2,4,20 - 24,male,US,0,2013-11-17 08:15:57,facebook,1.5
68,20.0,4,1,4,20 - 24,female,US,0,2013-11-17 08:16:20,facebook,1.0
69,0.0,4,2,4,20 - 24,male,US,0,2013-11-17 08:29:23,facebook,1.2
73,20.0,4,3,4,20 - 24,female,US,0,2013-11-17 09:40:47,facebook,2.3
77,50.0,4,2,4,20 - 24,male,US,0,2013-11-17 10:31:22,facebook,1.9
78,30.0,4,2,4,20 - 24,male,CN,0,2013-11-17 10:35:04,facebook,1.7
80,30.0,4,1,4,25 - 29,male,US,0,2013-11-17 10:37:17,facebook,2.3
82,30.0,4,2,4,20 - 24,male,US,0,2013-11-17 10:47:25,facebook,1.7
83,60.0,4,2,4,15 - 19,male,US,0,2013-11-17 10:51:56,facebook,2.1
85,40.0,4,2,4,20 - 24,female,US,0,2013-11-17 11:43:26,facebook,1.5
87,40.0,4,1,2,20 - 24,male,US,0,2013-11-17 12:13:40,facebook,1.7
88,40.0,4,3,4,20 - 24,male,US,0,2013-11-17 12:22:28,facebook,1.5
89,60.0,4,1,4,25 - 29,male,US,0,2013-11-17 12:26:18,facebook,2.2
90,40.0,4,2,4,25 - 29,male,US,0,2013-11-17 12:28:14,facebook,2.1
93,80.0,4,2,4,20 - 24,male,US,0,2013-11-17 12:57:43,facebook,2.2
94,30.0,4,1,4,20 - 24,male,US,0,2013-11-17 13:07:46,facebook,1.3
96,40.0,4,2,4,15 - 19,male,US,0,2013-11-17 13:41:07,facebook,1.6
97,70.0,4,0,0,20 - 24,male,US,0,2013-11-17 13:46:35,facebook,2.1
101,70.0,4,2,4,20 - 24,male,US,0,2013-11-17 14:22:12,facebook,2.5
103,50.0,4,2,4,20 - 24,male,US,0,2013-11-17 17:38:14,facebook,1.4
104,30.0,4,4,3,20 - 24,female,US,0,2013-11-17 18:10:47,facebook,1.2
105,50.0,4,3,4,20 - 24,female,US,0,2013-11-17 18:46:23,facebook,2.0
107,10.0,4,2,3,25 - 29,female,IL,0,2013-11-17 19:43:28,facebook,1.1
108,60.0,4,0,0,20 - 24,female,US,0,2013-11-17 20:25:50,facebook,1.5
110,30.0,4,1,4,30 - 34,male,FR,0,2013-11-17 20:34:42,facebook,1.4
111,40.0,3,1,3,20 - 24,female,US,0,2013-11-17 20:42:28,facebook,2.0
113,50.0,4,1,1,20 - 24,male,US,0,2013-11-17 20:54:45,facebook,1.7
114,50.0,4,2,4,20 - 24,male,IN,0,2013-11-17 20:55:20,facebook,2.4
115,20.0,4,2,2,20 - 24,female,HK,0,2013-11-17 20:56:42,facebook,2.2
119,20.0,4,3,4,20 - 24,female,US,0,2013-11-17 21:21:33,facebook,1.4
121,40.0,4,0,0,20 - 24,female,US,0,2013-11-17 21:26:53,facebook,1.7
129,50.0,4,2,3,15 - 19,female,US,0,2013-11-17 21:35:34,facebook,1.2
131,10.0,4,3,4,20 - 24,male,LB,0,2013-11-17 21:38:01,facebook,1.7
132,30.0,4,3,4,20 - 24,male,US,0,2013-11-17 21:39:00,facebook,0.8
133,50.0,4,0,0,20 - 24,male,US,0,2013-11-17 21:42:04,facebook,1.5
134,30.0,4,1,3,20 - 24,male,US,0,2013-11-17 21:44:40,facebook,2.3
136,20.0,4,2,4,20 - 24,female,US,0,2013-11-17 21:48:46,facebook,1.2
137,20.0,4,1,3,20 - 24,male,US,0,2013-11-17 21:50:04,facebook,1.8
138,30.0,4,1,4,20 - 24,female,US,0,2013-11-17 21:50:47,facebook,1.2
139,50.0,4,2,3,15 - 19,male,US,0,2013-11-17 21:58:10,facebook,2.1
140,40.0,4,1,4,20 - 24,male,US,0,2013-11-17 22:00:21,facebook,1.6
141,30.0,3,0,0,15 - 19,female,US,0,2013-11-17 22:01:20,facebook,1.2
142,40.0,4,3,4,20 - 24,female,US,0,2013-11-17 22:05:36,facebook,2.0
144,40.0,4,2,4,20 - 24,male,US,0,2013-11-17 22:14:31,facebook,1.6
146,30.0,4,3,4,15 - 19,male,US,0,2013-11-17 22:15:58,facebook,1.6
147,70.0,4,2,4,15 - 19,female,US,0,2013-11-17 22:16:18,facebook,2.3
148,50.0,4,0,0,20 - 24,female,US,0,2013-11-17 22:18:51,facebook,2.2
150,40.0,4,2,3,15 - 19,male,US,0,2013-11-17 22:23:51,facebook,1.6
151,70.0,4,3,4,15 - 19,female,US,0,2013-11-17 22:27:13,facebook,1.8
152,40.0,4,3,4,20 - 24,male,US,0,2013-11-17 22:28:57,facebook,1.7
157,30.0,3,0,0,15 - 19,female,US,0,2013-11-17 22:53:50,facebook,1.2
