name,category,icon,downloads,updateDate,description
Plants vs. Zombies™ 2,Game,https://lh3.ggpht.com/U2Zt1lafPmNTQ3HW6TIscXmdSRVTYzybgD2xBM5kAM-ERBNO7R_6DcDexuG3c-fk3X8=w300,"1,000,000 - 5,000,000","November 5, 2013","“Plants vs. Zombies 2 is a must-download.”  —CNET“Not just good, not even just great, but an instant classic.”   —NBCNews.com“An experience that’s every bit as challenging and rewarding as the original.”  —KotakuThe zombies are coming… back. It’s about time! The sequel to the hit action-strategy adventure brings the fun to tablets and touchscreens. Join Crazy Dave on a crazy adventure where you’ll meet, greet and defeat legions of zombies from the dawn of time to the end of days. Amass an army of powerful new plants, supercharge them with Plant Food and power up your defenses with amazing new ways to protect your brain. Battle zombies from all worlds in Piñata Party to win big prizes. And that's just the beginning! The future holds many mysteries… also zombies. Lots and lots of zombies.Game Features•	Meet powerful new plants that will defend your lawn through time•	Go toe-to-missing-toe with dozens of new zombies•	Supercharge your floral friends with healthy doses of Plant Food•	Fire up amazing Finger Powers to pinch, flick and zap zombies•	Defeat brain-teasing challenges that will test your zombie-zapping skills•	Take on zombies from all worlds in Piñata Party and win prizes  •	Gather keys to play valuable side missions•	Collect coins to purchase potent power-ups•	Earn stars to take you to new worlds•	Connect to Game Services to unlock achievements and compete against friends on the leaderboards•	Look out! Zombie chickens!Language Support: English, French, Italian, German, Spanish, Brazilian PortugueseRequirements: •	Requires Android 2.3 (Gingerbread); ARMv7 1.0 Ghz or higher; 1 GB of RAM•	Features may vary by mobile deviceDiscover more Plants vs. Zombies excitement:Follow us on twitter.com/PlantsvsZombiesFind us on www.facebook.com/PlantsversusZombiesVisit the snazzy Plants vs. Zombies store to shop for zombie shirts, plush, toys and more.http://www.pvzstore.comMore Apps from PopCap:Bejeweled® 2 – Match sparkling gems in the world’s #1 puzzle game.Bejeweled Blitz – 1 minute of endless fun!Plants vs. Zombies™ – Enjoy all the zombie-zapping fun of the hit PC/Mac game — fully optimized for Android.POPCAP MAKES LIFE FUNFollow us on twitter.com/PopCapFind us on facebook.com/PopCapVisit us at PopCap.comBe the first to know! Get inside EA info on great deals, plus the latest game updates, tips & more…Visit us on eamobile.com/androidFollow us on twitter.com/eamobileLike us on facebook.com/eamobileWatch us on youtube.com/eamobilegamesFor more information about the third-party targeted ad serving and analytics technology in this app and data they collect, see End User License Agreement:http://tos.ea.com/legalapp/mobileeula/US/en/GM/©2013 Electronic Arts Inc. Plants vs. Zombies is a trademark of Electronic Arts Inc."
Fanatical Football,Game,https://lh6.ggpht.com/hR0skydzEmztKvj4FQouzy-r__CzB3KjGUcmphuAc4mahJMzh2XLpFIOiJYBTNVhyVw=w300,"1,000,000 - 5,000,000","November 1, 2013","Fanatical Football delivers the #1 realistic football experience to date on Android. Pick and lead your team through exhibition and season matches all the way to final victory!Fanatical Football makes you feel the pulse of the NFL season. Build your team and run the show on offense and defense with new and improved touch controls and game modes! Score touchdowns by running, passing, and making big hits on D with intuitive tap and swipe controls. Thanks to immersive graphics and sounds, enjoy revamped crowd and environmental effects, making your Football experience more authentic than ever!Game Features:- Awesome graphics featuring you with incredibly detailed players in the most impressive setting ever seen- Quick Game mode and Championship mode- Build and upgrade your team and equip special power-ups"
Lines Classic,Game,https://lh5.ggpht.com/_3gWTe6Ez979icGlF-MvITMKhJmq0DPC5SthAJgt2EfE5_c2xU8xxBc-CW8iyu29-w=w300,"500,000 - 1,000,000","October 15, 2013","★★★★★ CAUTION - EXTREMELY ADDICTIVE GAME! ★★★★★Lines Classic - is one of the most entertaining and challenging puzzle games for your Android phone.Packed with great graphics and new features such as color-matching ""Smiley"" bubbles and ""Bombs"" to make the classic Lines game-play even better.Exercise your logic and enjoy the game!"
Westbound,Game,https://lh6.ggpht.com/VyH2pEEEd8kMGlhprLwRM6zbsSNHEfsh0LFNEerF1zsfsqFpSP4zjnLktp8gS_peb5k=w300,"500,000 - 1,000,000","November 1, 2013","Your wagon train has broken down on its way out west! Now you're stranded in a canyon for the winter with a motley crew of strangers. It's time to build a new home and turn it into your own beautiful western town! Saddle up your horse and come along!Treasure, mystery, and romance await as you mine the hidden canyon, discover ancient treasures, and establish a booming settlement! Be warned! There are notorious outlaws on the loose!Things you'll be doing in Westbound:• Explore the Hidden Canyon for magical artifacts• Race to find lost treasures• Discover ancient civilizations• Build a mining boomtown• Tend your ranch and watch it prosperBy Kiwi, the makers of top FREE games like Shipwrecked, Monsterama Park, and Brightwood Adventures.DISCLAIMER: This game may be too beautiful to put down!REVIEWS: Please rate Westbound and leave us a review! We love hearing from our fans!IN-APP PAYMENTS: Westbound is free to play but you can buy special items to use in the game.LOG PERMISSION: We use the log permission to debug the game. Help us catch the bugs!"
Pet Monster: Gem Shooter,Game,https://lh3.ggpht.com/zXSQzEzyYeSSsktrfwzqS7PakNfFaeFPQqUYQ4Ea-i-Nv294fnqfvEIV3MikHBJBiYDl=w300,"100,000 - 500,000","November 3, 2013","Jump into the amazing world of monsters and tamers in this action-packed mix of RPG and bubble shooting puzzle gameplay. Prepare for an exciting encounter with creatures ranging from cute to wild in this gem puzzle game where you fight, tame and collect fantasy creatures!How to play: simply link the gems you hold with three or more of the same color to have your tamed monsters deal damage or heal. Level up monsters to improve stats by fusing them together, or use rare items to evolve them and unlock their full potential.Explore 7 unique islands that hold different types of monsters and try to survive the adventure! Fight your way through for a chance to capture fantastical creatures. Explore all the islands and collect all monsters to become the best monster tamer!Features:- Vivid cartoon graphics and cute monsters- Challenging gem puzzle combat- Fight your battles by linking elemental gems: fire, water, lightning, dark, nature and life gems.- Perform stronger attacks through combos by strategically crushing multiple sets of gems- Collect over 150 monsters- Level up and upgrade your monsters by fusing them- Bring out your monsters’ full potential using evolution- 7 islands with unique themes waiting to be discovered** Please note that this free app contains optional paid content that can be purchased with real money to enhance the gaming experience. You can disable in-app purchases by adjusting your device settings. **"
Where's My Water? 2,Game,https://lh6.ggpht.com/eD6td71ymTBrutX-FxUHCTVKYzgRGrK2Kyy3CLTG2vZjubqD4yF47WXqQzL9Gs_Jluc=w300,"10,000,000 - 50,000,000","October 24, 2013","Get ready to join Swampy, Allie, and Cranky on their NEXT exciting adventure!The sequel to the most addicting physics-based puzzler from Disney has finally arrived. Where’s My Water? 2 launches with three brand new locations including the Sewer, the Soap Factory, the Beach. Best of all, the puzzles are all free! Cut through dirt, and guide fresh water, purple water, and steam to help Swampy and his friends!Key Features:• Play 100+ levels and challenges with a brand new look in the Gator universe featuring Swampy, Allie, Cranky, and Mystery Duck!• Introducing ‘Challenge Modes’ to replay the levels in explosive new ways! • Dig as fast as you can and get as many duckies as possible in ‘Duck Rush’ levels!• ‘Tri-ducking’ is now faster, better and more fun with boosts, such as Vacuum, Dropper, and Absorber! Small fees may be required for these additional boosts.• Connect through Facebook and see if you can beat your pals on the adventure!• Experience fun mechanics that are uniquely designed for each character!• Complete achievements and earn special themed duckies such as gladiator-duckie, astronaut-duckie, hula-duckie, and many more!• Stuck on a level? Use hints to help you solve the puzzles!Become a fan on www.facebook.com/wheresmywater or visit us on Twitter @Swampythegator to receive exclusive news and game tips from the Gator community!Where’s My Water? is a multiple Game of the Year award-winning puzzle game. The Where's My... franchise has received hundreds of millions of downloads to date. Check out Where’s My Mickey? and Where's My Perry? for more refreshing water-physics fun!Terms of Use: http://disneytermsofuse.com/"
Hard Time (Prison Sim),Game,https://lh6.ggpht.com/wSVvAfCMe9vdcDagmOvYHZFluxAePDa9ffb__a1TiblnVYDx17hsuEJcjFgF0KvDOfs=w300,"500,000 - 1,000,000","November 3, 2013","""Plays like Grand Theft Auto behind bars... prison has never been such an open world!""Wrestling Revolution's unique brand of violence finally ends up where it belongs - behind bars! Create your own inmate and attempt to survive in a prison where every sentence is a ""death"" sentence. Rub shoulders with up to 100 fellow inmates in a sprawling facility of 12 unique areas, each filled with fully interactive furniture and props. Plus a life beyond the gates populated by real civilians, with wardens enforcing dozens of different laws to keep you as far away from it as possible.Each day, you will find your health and mental state slipping away. Both can be restored by sleeping - which is also a good way to pass time. You won't always be permitted to sleep, though, so consuming food and drink bridges the gap. These, along with many other activities such as reading or watching TV, can also help to improve your mental state. If you ""lose your mind"" you will temporarily lose control of your character - and will almost certainly get into trouble!Your character also has a set of attributes that you are challenged to improve:- STRENGTH indicates how much damage you can inflict or absorb. You can improve it by fighting or lifting weights.- AGILITY determines how fast you move. You can improve it by jogging in the yard or scoring baskets.- INTELLECT reflects your knowledge - including fighting skills such as counters. You can improve it by reading books.- REPUTATION is how much other prisoners respect you. It can be improved by accomplishing tasks or intimidating others.There are also opportunities to earn money - whether you work for it with a broom, trade items at a profit, or run with a gang. Having money increases your opportunities to grease the wheels and make your life inside easier.You may find that you need to go to the toilet from time to time, in which case you must race to the bathroom! Alternatively, you could find a toilet to sit on or grab some toilet paper to spare your blushes. Failing to do so will damage your reputation and mental state.I regret that there is more to this game than I could ever explain here, so I hope you enjoy figuring some things out for yourself!Upgrade to ""VIP"" to enjoy the full experience without ads - plus access to the editor that allows you to customize your character and every other.BASIC CONTROLS:(*Look out for tutorials within the actual game)A = Attack (on its own to kick, with a direction to punch)G = Grapple / Throw weaponR = RunP = Pick-Up / DropT = Taunt (interact with handheld props)OTHER CONTROLS- Press ATTACK and RUN together to launch a powerful attack.- Press any button with any direction (or none) in a grapple to trigger different moves.- Press RUN and PICK-UP together to set fire to a small object (which can then be used to set fire to a large object).- Touch the clock to pause the game and bring up options to exit.- Touch any speech bubble to speed through conversations.PERFORMANCE- If you find your device struggles to display lots of characters, considering keeping the ""Population"" option low.- ""Speed Up Frame Rate"" sleeping will require good performance at the default frame rate.- Head to the ""Display"" options to tone down other features."
Hotel Transylvania Dash,Game,https://lh3.ggpht.com/qx3i4LTY3kogwIyixStcOkNMIMWVtk0KYv9vpEODtoW9brZEl96UsI7lde38W-cBHog=w300,"1,000,000 - 5,000,000","October 22, 2013","Enjoy 6 levels in this FREE version of Hotel Transylvania Dash, a frightfully fun take on the #1 Time Management series from PlayFirst! Help Dracula run a lavish 5-stake resort for lovable, quirky monsters, including Murray the Mummy, Frankenstein and his wife, a family of werewolves, and more! As Dracula, you’ll book rooms, deliver room service and luggage, and attend to your guests’ needs. Use your hard-earned blood bills to buy new decorations and deck out your VIP suites with help from Dracula’s daughter, Mavis. Mayhem ensues when human Jonathan stumbles into the hotel - the first human ever to discover the monsters-only retreat! With addictive Dash gameplay and lovable monster characters, Hotel Transylvania Dash is a ghoulish good time for all ages! FEATURES * Meet charming monsters from the Hotel Transylvania movie, including: - George and Gina Gremlin: Leave worm cakes at their door for extra points! - The Swamp Monster: He always requests towels for his daily swim - Bigfoot: He loves to travel with an entourage! * Play frightfully fun levels * Enjoy addictive Dash gameplay * Deck out your hotel with more than 40 decorations and upgrades * Play on phones and tablets"
Ultraman Galaxy,Game,https://lh5.ggpht.com/VqMVNMS4pDqOvxvvP1_0osS5OL-QF54Yud-6wT2uU0CNEjOrnXF_9ElMGgBrXqyYXyo=w300,"100,000 - 500,000","October 30, 2013","“Ultraman Galaxy” is a unique mobile slot-machine puzzle game fused with card battle, role-playing (RPG), and social game elements that will keep you playing for hours! Join Ultraman, Ultra Seven, Ultraman Zero, and the rest of the Ultraman Family defeat the evil Ultraman Belial, Alien Zarab, Alien Baltan, and the rest of the villains who are set to destroy the Earth! Collect over 400+ cards that feature a large roster of characters from the Ultraman Family, each with different skills and abilities! Upgrade your cards to acquire stronger cards. Try your luck on the slot machine and match 3 slots of the same color to unleash powerful attacks and combos to your enemies! Play through over 100+ missions, dungeons and special events! Is the enemy too much for you to handle? Invite friends from Facebook and form strong allied forces to fight against these evil intergalactic villains! Features: - Awesome and addicting RPG-Puzzle game hybrid - Choose and assemble your very own Ultraman Team - Engage in an epic battle with familiar villains from the Ultraman Series - Unique puzzle - slot machine combat mechanics - Gem combos will determine the amount of damage that you’ll deal! - Over 400+ Ultraman themed cards to collect and upgrade! - Upgrade and Ultra Morph your cards for total puzzle domination! - Play through over 100+ missions and Special events - Invite friends to play with you through Facebook or by User ID Collect, upgrade and spin your way to victory in “Ultraman Galaxy”! ** Please note that while this app is free, it contains content paid for with real money that can be purchased upon users' wish to enhance their gaming experience. You can disable in-app purchases by adjusting your device’s settings. **"
Dragon Realms by GREE,Game,https://lh4.ggpht.com/KR5DHc79xEMMkLIqNVjt12-PDzH8zVkVvnFhmeG5IDi47X9g7hbZileUFBxdWKAGcmo=w300,"1,000,000 - 5,000,000","November 2, 2013","Lead a band of heroes, conquer barbaric rivals, slay medieval beasts, and build the greatest Kingdom in the land! Join forces with other players and compete for control of the Dragon Realms!Raise your sword and claim your kingdom! In Dragon Realms, you are not born into a position of power, you take it! The empire awaits its true monarch, so create your army of heroes, build alliances, and lead them into epic battles. The more rivals you defeat, the stronger you become. Fight without fear until all bow before you and chant your name.Features:• Free-to-play medieval MMORPG fantasy game• Collect heroes and lead a party in your crusade for the crown• Form guilds to divide, conquer, and dominate• Face off against other player parties in battle• Capture and absorb rival heroes for strength• Discover items of legendary power• Fight in ongoing events of epic proportionsVisit us online: product.gree.netFollow us on Twitter: @GREEgamesLike us on Facebook: facebook.com/GREEgamesWatch us on YouTube: youtube.com/GREEgames"
